cProfile Syntax: python -m cProfile -s cumtime SPKF.py

SPKF.py cProfile

         16017338 function calls (15570273 primitive calls) in 69.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    387/1    0.007    0.000   69.673   69.673 {built-in method builtins.exec}
        1    4.838    4.838   69.673   69.673 SPKF.py:1(<module>)
    35560    9.904    0.000   42.950    0.001 iterSPKF.py:7(iterSPKF)
1675182/1247907    6.000    0.000   21.158    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    35560    0.927    0.000   10.702    0.000 iterSPKF.py:137(outputEqn)
    35560    7.317    0.000    9.774    0.000 OCVfromSOCtemp.py:3(OCVfromSOCtemp)
        1    0.000    0.000    6.421    6.421 pyplot.py:344(show)
        1    0.000    0.000    6.421    6.421 backend_bases.py:3510(show)
        1    0.000    0.000    6.394    6.394 _backend_tk.py:972(mainloop)
        1    0.000    0.000    6.394    6.394 __init__.py:1456(mainloop)
        1    5.157    5.157    6.394    6.394 {method 'mainloop' of '_tkinter.tkapp' objects}
       41    0.009    0.000    5.334    0.130 __init__.py:1(<module>)
   466/16    0.011    0.000    4.570    0.286 <frozen importlib._bootstrap>:1022(_find_and_load)
   463/16    0.005    0.000    4.569    0.286 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   444/18    0.006    0.000    4.549    0.253 <frozen importlib._bootstrap>:664(_load_unlocked)
   667/18    0.002    0.000    4.534    0.252 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   426720    0.638    0.000    4.517    0.000 <__array_function__ internals>:177(transpose)
   378/17    0.004    0.000    4.514    0.266 <frozen importlib._bootstrap_external>:877(exec_module)
       12    4.177    0.348    4.177    0.348 {built-in method builtins.print}
   477/57    0.003    0.000    4.130    0.072 {built-in method builtins.__import__}
  647/155    0.004    0.000    3.966    0.026 <frozen importlib._bootstrap>:1053(_handle_fromlist)
   142240    0.227    0.000    3.798    0.000 <__array_function__ internals>:177(hstack)
    35560    3.519    0.000    3.604    0.000 iterSPKF.py:125(stateEqn)
   106682    0.185    0.000    3.516    0.000 <__array_function__ internals>:177(tile)
   426720    0.470    0.000    3.105    0.000 fromnumeric.py:601(transpose)
    35560    0.081    0.000    3.056    0.000 <__array_function__ internals>:177(svd)
   142240    0.542    0.000    2.997    0.000 shape_base.py:285(hstack)
   106682    1.638    0.000    2.980    0.000 shape_base.py:1191(tile)
        1    0.001    0.001    2.934    2.934 pyplot.py:1(<module>)
    35560    2.218    0.000    2.887    0.000 linalg.py:1477(svd)
   142243    0.248    0.000    2.878    0.000 <__array_function__ internals>:177(where)
   462927    0.806    0.000    2.843    0.000 fromnumeric.py:51(_wrapfunc)
1352/1135    0.047    0.000    2.787    0.002 {built-in method builtins.__build_class__}
      101    0.004    0.000    2.187    0.022 artist.py:128(_update_set_signature_and_docstring)
      100    0.001    0.000    2.161    0.022 artist.py:104(__init_subclass__)
   213696    0.399    0.000    1.709    0.000 <__array_function__ internals>:177(concatenate)
        1    0.000    0.000    1.659    1.659 figure.py:1(<module>)
        2    0.000    0.000    1.634    0.817 pyplot.py:1118(subplot)
    35561    0.075    0.000    1.613    0.000 <__array_function__ internals>:177(cholesky)
   254849    1.578    0.000    1.578    0.000 {built-in method builtins.abs}
   106682    0.183    0.000    1.528    0.000 <__array_function__ internals>:177(diag)
       17    0.000    0.000    1.483    0.087 pyplot.py:854(gcf)
        1    0.000    0.000    1.483    1.483 pyplot.py:686(figure)
        1    0.000    0.000    1.483    1.483 pyplot.py:324(new_figure_manager)
    35561    0.795    0.000    1.455    0.000 linalg.py:679(cholesky)
      114    0.002    0.000    1.407    0.012 artist.py:1730(kwdoc)
    36104    0.287    0.000    1.259    0.000 fromnumeric.py:38(_wrapit)
  166/152    0.003    0.000    1.236    0.008 __init__.py:1916(__call__)
   142240    0.216    0.000    1.199    0.000 <__array_function__ internals>:177(atleast_1d)
    33099    0.074    0.000    1.173    0.000 inspect.py:725(getdoc)
        1    0.000    0.000    1.152    1.152 backend_bases.py:3487(new_figure_manager)
   106682    0.901    0.000    1.152    0.000 twodim_base.py:240(diag)
        1    0.000    0.000    1.151    1.151 _backend_tk.py:940(new_figure_manager_given_figure)
      216    0.072    0.000    1.127    0.005 artist.py:1422(get_setters)
    32047    0.686    0.000    1.090    0.000 inspect.py:744(cleandoc)
        1    0.000    0.000    1.087    1.087 colorbar.py:1(<module>)
    27386    0.044    0.000    1.029    0.000 artist.py:1441(is_alias)
      114    0.014    0.000    0.991    0.009 artist.py:1491(pprint_setters)
    35562    0.088    0.000    0.991    0.000 <__array_function__ internals>:177(append)
        4    0.000    0.000    0.969    0.242 __init__.py:837(callit)
   109279    0.961    0.000    0.961    0.000 {built-in method numpy.asarray}
        2    0.000    0.000    0.936    0.468 _backend_tk.py:250(idle_draw)
        2    0.000    0.000    0.936    0.468 backend_tkagg.py:8(draw)
        1    0.000    0.000    0.901    0.901 __init__.py:2279(__init__)
        2    0.000    0.000    0.900    0.450 backend_agg.py:429(draw)
        1    0.899    0.899    0.899    0.899 {built-in method _tkinter.create}
        2    0.000    0.000    0.896    0.448 artist.py:71(draw_wrapper)
    386/2    0.003    0.000    0.896    0.448 artist.py:32(draw_wrapper)
        2    0.000    0.000    0.896    0.448 figure.py:2813(draw)
      6/2    0.000    0.000    0.889    0.444 image.py:114(_draw_list_compositing_images)
        4    0.000    0.000    0.889    0.222 _base.py:3022(draw)
    35560    0.054    0.000    0.864    0.000 <__array_function__ internals>:177(vstack)
        1    0.000    0.000    0.831    0.831 _subplots.py:1(<module>)
    35562    0.185    0.000    0.822    0.000 function_base.py:5389(append)
      216    0.003    0.000    0.793    0.004 artist.py:1327(__init__)
      216    0.039    0.000    0.788    0.004 artist.py:1347(get_aliases)
        1    0.000    0.000    0.783    0.783 _axes.py:1(<module>)
   142240    0.544    0.000    0.762    0.000 shape_base.py:23(atleast_1d)
    35560    0.131    0.000    0.691    0.000 shape_base.py:222(vstack)
      378    0.012    0.000    0.618    0.002 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.612    0.612 contour.py:1(<module>)
     8724    0.014    0.000    0.611    0.000 inspect.py:3245(signature)
    35596    0.187    0.000    0.600    0.000 numeric.py:149(ones)
     8724    0.014    0.000    0.597    0.000 inspect.py:2991(from_callable)
8764/8724    0.093    0.000    0.583    0.000 inspect.py:2371(_signature_from_callable)
    71122    0.332    0.000    0.560    0.000 linalg.py:136(_commonType)
        1    0.000    0.000    0.515    0.515 backend_bases.py:1(<module>)
   180581    0.512    0.000    0.512    0.000 {built-in method numpy.array}
   177800    0.170    0.000    0.465    0.000 shape_base.py:218(_vhstack_dispatcher)
    35981    0.082    0.000    0.442    0.000 <__array_function__ internals>:177(reshape)
    71201    0.125    0.000    0.427    0.000 <__array_function__ internals>:177(squeeze)
     8613    0.156    0.000    0.424    0.000 inspect.py:2276(_signature_from_function)
        1    0.000    0.000    0.424    0.424 collections.py:1(<module>)
   106680    0.400    0.000    0.400    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.398    0.398 axes3d.py:1(<module>)
        8    0.001    0.000    0.395    0.049 axis.py:1150(draw)
   249738    0.393    0.000    0.393    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  444/441    0.003    0.000    0.391    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
      378    0.006    0.000    0.379    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
     4000    0.030    0.000    0.371    0.000 artist.py:1375(get_valid_values)
    35568    0.067    0.000    0.361    0.000 <__array_function__ internals>:177(ravel)
      458    0.012    0.000    0.355    0.001 <frozen importlib._bootstrap>:921(_find_spec)
    35601    0.113    0.000    0.349    0.000 <__array_function__ internals>:177(copyto)
   676264    0.340    0.000    0.348    0.000 {built-in method builtins.getattr}
       45    0.001    0.000    0.346    0.008 <frozen importlib._bootstrap_external>:1174(create_module)
       45    0.339    0.008    0.345    0.008 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.342    0.342 widgets.py:1(<module>)
       10    0.000    0.000    0.342    0.034 __init__.py:108(import_module)
       10    0.000    0.000    0.342    0.034 <frozen importlib._bootstrap>:1038(_gcd_import)
   284489    0.338    0.000    0.338    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.333    0.333 patches.py:1(<module>)
      438    0.002    0.000    0.331    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
        2    0.000    0.000    0.331    0.165 pyplot.py:315(_warn_if_gui_out_of_main_thread)
        5    0.000    0.000    0.331    0.066 pyplot.py:207(_get_backend_mod)
      6/1    0.000    0.000    0.331    0.331 pyplot.py:227(switch_backend)
    35560    0.063    0.000    0.330    0.000 <__array_function__ internals>:177(atleast_2d)
  439/438    0.007    0.000    0.330    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
        5    0.000    0.000    0.325    0.065 pyplot.py:288(backend_mod)
     1007    0.025    0.000    0.306    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      378    0.302    0.001    0.302    0.001 {built-in method io.open_code}
   178096    0.171    0.000    0.296    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
    35981    0.091    0.000    0.292    0.000 fromnumeric.py:198(reshape)
   391160    0.286    0.000    0.286    0.000 {method 'transpose' of 'numpy.ndarray' objects}
1066787/1065568    0.272    0.000    0.273    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.269    0.269 backend_tkagg.py:1(<module>)
        1    0.000    0.000    0.262    0.262 rcsetup.py:1(<module>)
        4    0.000    0.000    0.254    0.063 legend.py:602(draw)
        1    0.000    0.000    0.245    0.245 geo.py:1(<module>)
    35565    0.102    0.000    0.236    0.000 <__array_function__ internals>:177(size)
    71120    0.227    0.000    0.227    0.000 {method 'transpose' of 'numpy.generic' objects}
        1    0.000    0.000    0.225    0.225 _backend_tk.py:1(<module>)
    35568    0.129    0.000    0.222    0.000 fromnumeric.py:1755(ravel)
      142    0.002    0.000    0.216    0.002 _backend_tk.py:274(motion_notify_event)
     2012    0.212    0.000    0.212    0.000 {built-in method nt.stat}
      442    0.169    0.000    0.206    0.000 {method 'call' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.205    0.205 art3d.py:1(<module>)
     1976    0.003    0.000    0.205    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    35560    0.154    0.000    0.205    0.000 shape_base.py:81(atleast_2d)
      142    0.003    0.000    0.204    0.001 backend_bases.py:1903(motion_notify_event)
   320040    0.197    0.000    0.197    0.000 shape_base.py:1273(<genexpr>)
      156    0.008    0.000    0.194    0.001 lines.py:724(draw)
        1    0.000    0.000    0.194    0.194 _backend_tk.py:417(__init__)
        1    0.000    0.000    0.194    0.194 _backend_tk.py:444(_get_toolbar)
        1    0.000    0.000    0.194    0.194 _backend_tk.py:540(__init__)
   446931    0.169    0.000    0.193    0.000 {built-in method builtins.isinstance}
    71122    0.134    0.000    0.192    0.000 linalg.py:112(_makearray)
        1    0.000    0.000    0.185    0.185 legend.py:1(<module>)
        7    0.000    0.000    0.178    0.025 _backend_tk.py:663(_Button)
   106972    0.105    0.000    0.178    0.000 {built-in method builtins.all}
      100    0.002    0.000    0.176    0.002 text.py:872(get_window_extent)
    71201    0.104    0.000    0.176    0.000 fromnumeric.py:1478(squeeze)
       13    0.000    0.000    0.175    0.013 docstring.py:55(__missing__)
        7    0.000    0.000    0.174    0.025 _backend_tk.py:641(_set_image_for_button)
   534638    0.174    0.000    0.174    0.000 {built-in method numpy.asanyarray}
      208    0.004    0.000    0.173    0.001 text.py:290(_get_layout)
     22/4    0.001    0.000    0.171    0.043 offsetbox.py:354(draw)
      127    0.002    0.000    0.170    0.001 docstring.py:36(__call__)
        2    0.000    0.000    0.170    0.085 _base.py:1(<module>)
       26    0.000    0.000    0.170    0.007 offsetbox.py:275(get_offset)
        8    0.002    0.000    0.170    0.021 legend.py:585(_findoffset)
  115/105    0.001    0.000    0.169    0.002 docstring.py:83(__call__)
      142    0.003    0.000    0.169    0.001 backend_bases.py:1416(__init__)
   106682    0.119    0.000    0.168    0.000 linalg.py:130(_realType)
      104    0.001    0.000    0.168    0.002 backend_agg.py:251(get_text_width_height_descent)
        8    0.000    0.000    0.168    0.021 legend.py:1004(_find_best_position)
        1    0.000    0.000    0.167    0.167 offsetbox.py:1(<module>)
      143    0.004    0.000    0.166    0.001 backend_bases.py:1303(__init__)
      378    0.003    0.000    0.164    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      143    0.001    0.000    0.161    0.001 backend_bases.py:1973(inaxes)
      378    0.159    0.000    0.159    0.000 {built-in method marshal.loads}
      202    0.002    0.000    0.159    0.001 font_manager.py:1248(findfont)
   426720    0.157    0.000    0.157    0.000 fromnumeric.py:597(_transpose_dispatcher)
      143    0.002    0.000    0.157    0.001 backend_bases.py:1987(<listcomp>)
     7967    0.019    0.000    0.155    0.000 re.py:288(_compile)
      286    0.004    0.000    0.155    0.001 patches.py:171(contains_point)
       16    0.002    0.000    0.152    0.009 axis.py:1040(_update_ticks)
        2    0.000    0.000    0.150    0.075 figure.py:646(add_subplot)
        2    0.000    0.000    0.149    0.075 _subplots.py:14(__init__)
        2    0.000    0.000    0.147    0.074 deprecation.py:448(wrapper)
        2    0.000    0.000    0.147    0.074 _base.py:553(__init__)
      170    0.001    0.000    0.147    0.001 backend_agg.py:299(_get_agg_font)
        3    0.036    0.012    0.146    0.049 font_manager.py:1311(_findfont_cached)
   142244    0.106    0.000    0.145    0.000 linalg.py:117(isComplexType)
    23418    0.086    0.000    0.144    0.000 inspect.py:2630(__init__)
   199974    0.142    0.000    0.142    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.139    0.139 fontconfig_pattern.py:1(<module>)
       94    0.001    0.000    0.136    0.001 backend_agg.py:133(draw_path)
   142409    0.135    0.000    0.135    0.000 {method 'astype' of 'numpy.ndarray' objects}
       94    0.127    0.001    0.134    0.001 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   415086    0.129    0.000    0.129    0.000 {method 'append' of 'list' objects}
      228    0.003    0.000    0.127    0.001 sre_compile.py:783(compile)
       90    0.000    0.000    0.123    0.001 {built-in method builtins.sum}
        1    0.000    0.000    0.121    0.121 axis.py:1(<module>)
     5185    0.008    0.000    0.120    0.000 re.py:197(search)
   213364    0.114    0.000    0.114    0.000 shape_base.py:1263(<genexpr>)
        1    0.000    0.000    0.112    0.112 textpath.py:1(<module>)
    71122    0.111    0.000    0.111    0.000 linalg.py:194(_assert_stacked_2d)
        1    0.000    0.000    0.110    0.110 image.py:1(<module>)
        1    0.000    0.000    0.108    0.108 quiver.py:1(<module>)
       16    0.000    0.000    0.105    0.007 axis.py:1083(_get_tick_bboxes)
        1    0.000    0.000    0.105    0.105 polar.py:1(<module>)
       16    0.000    0.000    0.105    0.007 axis.py:1085(<listcomp>)
        3    0.002    0.001    0.104    0.035 core.py:1(<module>)
        1    0.000    0.000    0.104    0.104 colors.py:1(<module>)
     4912    0.067    0.000    0.103    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
42721/42637    0.047    0.000    0.103    0.000 {method 'join' of 'str' objects}
       44    0.001    0.000    0.102    0.002 axis.py:291(draw)
    35596    0.075    0.000    0.099    0.000 numeric.py:1873(isscalar)
    71122    0.098    0.000    0.098    0.000 linalg.py:107(get_linalg_error_extobj)
        7    0.000    0.000    0.098    0.014 Image.py:3042(open)
   213696    0.096    0.000    0.096    0.000 multiarray.py:148(concatenate)
        1    0.000    0.000    0.095    0.095 _mio.py:1(<module>)
      126    0.005    0.000    0.095    0.001 text.py:671(draw)
        1    0.001    0.001    0.092    0.092 _axes.py:46(Axes)
   297751    0.091    0.000    0.091    0.000 {method 'lstrip' of 'str' objects}
       16    0.000    0.000    0.088    0.006 axis.py:1368(get_major_ticks)
      355    0.002    0.000    0.088    0.000 patches.py:276(get_transform)
     8834    0.056    0.000    0.087    0.000 inspect.py:2913(__init__)
       32    0.003    0.000    0.086    0.003 axis.py:57(__init__)
    35562    0.080    0.000    0.080    0.000 linalg.py:200(_assert_stacked_square)
        1    0.000    0.000    0.080    0.080 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.080    0.080 _mio4.py:1(<module>)
   197039    0.079    0.000    0.079    0.000 {built-in method builtins.min}
      228    0.002    0.000    0.079    0.000 sre_parse.py:944(parse)
        2    0.001    0.000    0.078    0.039 _distributor_init.py:1(<module>)
      327    0.005    0.000    0.078    0.000 patches.py:753(get_patch_transform)
        4    0.000    0.000    0.075    0.019 _base.py:2960(_update_title_position)
        1    0.000    0.000    0.075    0.075 axis3d.py:1(<module>)
        4    0.000    0.000    0.074    0.019 offsetbox.py:348(get_window_extent)
  502/228    0.003    0.000    0.074    0.000 sre_parse.py:436(_parse_sub)
       36    0.000    0.000    0.073    0.002 legend.py:1030(<genexpr>)
       36    0.031    0.001    0.073    0.002 transforms.py:593(count_contains)
    71201    0.071    0.000    0.071    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
  538/231    0.028    0.000    0.071    0.000 sre_parse.py:494(_parse)
   214590    0.070    0.000    0.070    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.069    0.069 multiarray.py:1(<module>)
       43    0.069    0.002    0.069    0.002 {built-in method io.open}
       30    0.013    0.000    0.067    0.002 __init__.py:759(_rc_params_in_file)
        1    0.000    0.000    0.067    0.067 overrides.py:1(<module>)
        1    0.000    0.000    0.066    0.066 lines.py:1(<module>)
   154202    0.066    0.000    0.066    0.000 {method 'get' of 'dict' objects}
   142243    0.066    0.000    0.066    0.000 multiarray.py:341(where)
      216    0.034    0.000    0.064    0.000 artist.py:1358(<listcomp>)
    35609    0.063    0.000    0.063    0.000 {built-in method numpy.empty}
      286    0.002    0.000    0.063    0.000 path.py:491(contains_point)
       18    0.000    0.000    0.062    0.003 axis.py:2317(_get_tick)
       18    0.001    0.000    0.062    0.003 axis.py:475(__init__)
        1    0.000    0.000    0.061    0.061 font_manager.py:1(<module>)
       83    0.000    0.000    0.060    0.001 re.py:249(compile)
     1199    0.004    0.000    0.060    0.000 colors.py:152(to_rgba)
    45/38    0.000    0.000    0.060    0.002 <frozen importlib._bootstrap_external>:1182(exec_module)
    45/38    0.011    0.000    0.060    0.002 {built-in method _imp.exec_dynamic}
    25230    0.039    0.000    0.059    0.000 enum.py:359(__call__)
        1    0.000    0.000    0.059    0.059 text.py:1(<module>)
        7    0.000    0.000    0.059    0.008 ImageTk.py:113(__init__)
      551    0.002    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        7    0.000    0.000    0.058    0.008 ImageTk.py:179(paste)
        7    0.000    0.000    0.058    0.008 ImageTk.py:62(_pyimagingtkcall)
   134469    0.058    0.000    0.058    0.000 {method 'startswith' of 'str' objects}
      442    0.057    0.000    0.057    0.000 {built-in method builtins.dir}
      501    0.057    0.000    0.057    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.057    0.057 _pickle.py:1(<module>)
        2    0.000    0.000    0.056    0.028 _base.py:1183(cla)
      510    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    38282    0.055    0.000    0.055    0.000 {method 'split' of 'str' objects}
     9103    0.055    0.000    0.055    0.000 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.054    0.027 core.py:193(read_style_directory)
       24    0.000    0.000    0.053    0.002 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
   106682    0.053    0.000    0.053    0.000 shape_base.py:1187(_tile_dispatcher)
    35803    0.053    0.000    0.053    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.052    0.017 _mio.py:85(loadmat)
       14    0.000    0.000    0.052    0.004 axis.py:2052(_get_tick)
       39    0.000    0.000    0.052    0.001 _add_newdocs_scalars.py:62(<genexpr>)
       14    0.000    0.000    0.052    0.004 axis.py:414(__init__)
       15    0.000    0.000    0.051    0.003 platform.py:901(system)
       30    0.000    0.000    0.051    0.002 platform.py:812(uname)
